Geneid	GeneSymbol	Chromosome	Start	End	Class	Strand	Length
ENSMUSG00000079171.3	 Gm13942	chr2	111051320	111057574	 lncRNA	-	6254
ENSMUSG00000079170.3	 Gm13941	chr2	111088372	111105982	 protein_coding	-	17610
ENSMUSG00000079169.3	 Gm15130	chr2	111134114	111152936	 protein_coding	-	18822
ENSMUSG00000027157.10	 4930430A15Rik	chr2	111162061	111229602	 protein_coding	-	67541
ENSMUSG00000084094.1	 Gm13961	chr2	111182635	111187406	 processed_pseudogene	+	4771
ENSMUSG00000074966.5	 Olfr1275	chr2	111230360	111235286	 protein_coding	-	4926
ENSMUSG00000084933.1	 Gm13962	chr2	111246131	111256163	 lncRNA	-	10032
ENSMUSG00000063844.5	 Olfr1276	chr2	111254516	111262026	 protein_coding	+	7510
ENSMUSG00000074965.5	 Olfr1277	chr2	111264946	111274106	 protein_coding	-	9160
ENSMUSG00000068647.2	 Olfr1278	chr2	111290136	111298886	 protein_coding	+	8750
ENSMUSG00000109813.2	 Olfr1279	chr2	111300635	111309043	 protein_coding	+	8408
ENSMUSG00000109449.3	 Olfr1280	chr2	111314017	111326003	 protein_coding	+	11986
ENSMUSG00000095156.2	 Olfr1281	chr2	111326520	111332852	 protein_coding	+	6332
ENSMUSG00000096554.1	 Olfr1282	chr2	111335159	111336076	 protein_coding	-	917
ENSMUSG00000109322.2	 Olfr1283	chr2	111366790	111370063	 protein_coding	+	3273
ENSMUSG00000108931.2	 Olfr1284	chr2	111375522	111380613	 protein_coding	+	5091
ENSMUSG00000109521.3	 Olfr1285	chr2	111406534	111409398	 transcribed_unprocessed_pseudogene	+	2864
ENSMUSG00000096703.3	 Olfr1286	chr2	111417842	111423115	 protein_coding	-	5273
ENSMUSG00000095586.1	 Olfr1287	chr2	111449142	111450059	 protein_coding	+	917
ENSMUSG00000044039.4	 Olfr1288	chr2	111474101	111479994	 protein_coding	+	5893
ENSMUSG00000061195.8	 Olfr1289	chr2	111480819	111484615	 protein_coding	+	3796
ENSMUSG00000095809.3	 Olfr1290	chr2	111487528	111493829	 protein_coding	-	6301
ENSMUSG00000108891.4	 Olfr1291-ps1	chr2	111497180	111504553	 protein_coding	+	7373
ENSMUSG00000094074.1	 Olfr1292-ps1	chr2	111508573	111509511	 unprocessed_pseudogene	-	938
ENSMUSG00000108908.4	 Olfr1293-ps	chr2	111525203	111533279	 protein_coding	+	8076
ENSMUSG00000109287.1	 Gm44713	chr2	111528414	111528538	 unprocessed_pseudogene	+	124
ENSMUSG00000109547.2	 Olfr1294	chr2	111536530	111540291	 protein_coding	-	3761
ENSMUSG00000108919.3	 Olfr1295	chr2	111561423	111569681	 protein_coding	-	8258
ENSMUSG00000096690.1	 Olfr1296-ps1	chr2	111593073	111594011	 unprocessed_pseudogene	-	938
ENSMUSG00000094858.3	 Olfr1297	chr2	111615233	111626497	 protein_coding	-	11264
ENSMUSG00000109487.3	 Olfr1298	chr2	111644498	111649201	 protein_coding	-	4703
ENSMUSG00000109219.2	 Olfr1299	chr2	111661419	111665814	 protein_coding	+	4395
ENSMUSG00000109071.1	 Gm44840	chr2	111661456	111705461	 lncRNA	+	44005
ENSMUSG00000109389.1	 Olfr1300-ps1	chr2	111667437	111693319	 polymorphic_pseudogene	+	25882
ENSMUSG00000082091.1	 Gm13922	chr2	111698723	111698878	 processed_pseudogene	-	155
ENSMUSG00000084134.1	 Gm13930	chr2	111740105	111740834	 processed_pseudogene	+	729
ENSMUSG00000057149.4	 Olfr1301	chr2	111751006	111758852	 protein_coding	+	7846
ENSMUSG00000044560.3	 Olfr1302	chr2	111777429	111782700	 protein_coding	+	5271
ENSMUSG00000093804.3	 Olfr1303	chr2	111812247	111820340	 protein_coding	-	8093
ENSMUSG00000109423.1	 Olfr1304-ps1	chr2	111823228	111823416	 unprocessed_pseudogene	-	188
ENSMUSG00000077467.1	 Gm26421	chr2	111825179	111825310	 snoRNA	+	131
ENSMUSG00000083059.3	 Olfr268-ps1	chr2	111844262	111851838	 unprocessed_pseudogene	-	7576
ENSMUSG00000074955.3	 Olfr1305	chr2	111867657	111877149	 protein_coding	-	9492
ENSMUSG00000096566.2	 Olfr1306	chr2	111911264	111916271	 protein_coding	-	5007
ENSMUSG00000081069.1	 Gm13928	chr2	111926259	111927990	 processed_pseudogene	+	1731
ENSMUSG00000094747.3	 Olfr1307	chr2	111930116	111949440	 protein_coding	-	19324
ENSMUSG00000074952.3	 Olfr1308	chr2	111959285	111964944	 protein_coding	-	5659
ENSMUSG00000109528.2	 Olfr1309	chr2	111979857	111990281	 protein_coding	-	10424
ENSMUSG00000081037.3	 Gm13929	chr2	112000180	112001304	 transcribed_processed_pseudogene	+	1124
ENSMUSG00000108827.3	 Olfr1310	chr2	112004574	112012708	 protein_coding	-	8134
ENSMUSG00000109403.2	 Olfr1311	chr2	112019656	112024412	 protein_coding	-	4756
ENSMUSG00000074947.3	 Olfr1312	chr2	112038068	112050238	 protein_coding	-	12170
ENSMUSG00000074946.5	 Olfr1313	chr2	112070088	112077843	 protein_coding	-	7755
ENSMUSG00000074945.3	 Olfr1314	chr2	112089786	112096781	 protein_coding	-	6995
ENSMUSG00000109033.2	 Olfr1315-ps1	chr2	112110057	112115440	 protein_coding	-	5383
ENSMUSG00000109801.2	 Olfr1316	chr2	112126996	112134977	 protein_coding	-	7981
ENSMUSG00000050776.3	 Olfr1317	chr2	112140329	112144054	 protein_coding	+	3725
ENSMUSG00000049758.7	 Olfr1318	chr2	112154198	112159157	 protein_coding	+	4959
ENSMUSG00000109522.1	 Olfr1319-ps1	chr2	112167724	112167997	 unprocessed_pseudogene	+	273
ENSMUSG00000027134.4	 Lpcat4	chr2	112239468	112247111	 protein_coding	+	7643
ENSMUSG00000041358.1	 Nutm1	chr2	112247948	112259291	 protein_coding	-	11343
ENSMUSG00000027133.3	 Nop10	chr2	112261926	112263269	 protein_coding	+	1343
ENSMUSG00000027130.15	 Slc12a6	chr2	112265825	112363163	 protein_coding	+	97338
ENSMUSG00000096764.1	 Gm21985	chr2	112266314	112406319	 protein_coding	+	140005
ENSMUSG00000027131.3	 Emc4	chr2	112363011	112368027	 protein_coding	-	5016
ENSMUSG00000027132.3	 Katnbl1	chr2	112379211	112414240	 protein_coding	+	35029
ENSMUSG00000081541.1	 Gm13940	chr2	112389197	112389497	 processed_pseudogene	-	300
ENSMUSG00000055943.5	 Emc7	chr2	112454997	112472162	 protein_coding	+	17165
ENSMUSG00000077705.1	 n-R5s202	chr2	112469253	112469366	 rRNA	-	113
ENSMUSG00000074939.3	 Chrm5	chr2	112479171	112480769	 protein_coding	-	1598
ENSMUSG00000003604.14	 Aven	chr2	112492964	112634573	 protein_coding	+	141609
ENSMUSG00000080622.1	 Gm22676	chr2	112500869	112500997	 snoRNA	+	128
ENSMUSG00000105420.1	 Gm44374	chr2	112614030	112614169	 miRNA	+	139
ENSMUSG00000057378.15	 Ryr3	chr2	112631355	113217096	 protein_coding	-	585741
ENSMUSG00000041255.2	 Tmco5b	chr2	113285732	113297190	 protein_coding	+	11458
ENSMUSG00000093660.1	 Gm26505	chr2	113288273	113288438	 snRNA	+	165
ENSMUSG00000044042.18	 Fmn1	chr2	113327736	113716767	 protein_coding	+	389031
ENSMUSG00000084391.1	 Gm13967	chr2	113384681	113385199	 processed_pseudogene	+	518
ENSMUSG00000085448.1	 Gm13963	chr2	113387107	113441094	 lncRNA	-	53987
ENSMUSG00000085508.1	 Gm13965	chr2	113400459	113410250	 lncRNA	+	9791
ENSMUSG00000087545.1	 Gm13966	chr2	113440681	113442304	 lncRNA	-	1623
ENSMUSG00000105821.1	 Gm44465	chr2	113476708	113476821	 miRNA	-	113
ENSMUSG00000087106.1	 Gm13964	chr2	113500679	113504034	 lncRNA	-	3355
ENSMUSG00000084798.1	 4930533B01Rik	chr2	113691053	113708550	 lncRNA	-	17497
ENSMUSG00000074934.3	 Grem1	chr2	113746164	113758646	 protein_coding	-	12482
ENSMUSG00000023236.7	 Scg5	chr2	113776362	113829121	 protein_coding	-	52759
ENSMUSG00000041219.14	 Arhgap11a	chr2	113831492	113848661	 protein_coding	-	17169
ENSMUSG00000096006.1	 Gm21596	chr2	113919247	113920562	 processed_pseudogene	-	1315
ENSMUSG00000068615.4	 Gjd2	chr2	114009601	114013619	 protein_coding	-	4018
ENSMUSG00000092201.7	 A530058N18Rik	chr2	114013563	114068324	 lncRNA	+	54761
ENSMUSG00000087694.8	 A530058N18Rik	chr2	114013602	114032292	 lncRNA	+	18690
ENSMUSG00000068614.7	 Actc1	chr2	114047282	114053548	 protein_coding	-	6266
ENSMUSG00000092397.7	 C130080G10Rik	chr2	114054335	114064868	 lncRNA	+	10533
ENSMUSG00000040383.16	 Aqr	chr2	114101170	114187024	 protein_coding	-	85854
ENSMUSG00000098464.1	 Mir7002	chr2	114150516	114150570	 miRNA	-	54
ENSMUSG00000040321.3	 Zfp770	chr2	114193461	114201469	 protein_coding	-	8008
ENSMUSG00000084620.1	 Gm25103	chr2	114270111	114270428	 misc_RNA	+	317
ENSMUSG00000101266.1	 Gm29234	chr2	114272174	114273435	 lncRNA	-	1261
ENSMUSG00000057147.13	 Dph6	chr2	114516416	114654964	 protein_coding	-	138548
ENSMUSG00000084785.1	 Gm13972	chr2	114654425	114697839	 lncRNA	+	43414
ENSMUSG00000082997.1	 Gm13975	chr2	114708112	114708893	 processed_pseudogene	+	781
ENSMUSG00000085222.1	 Gm13974	chr2	114854093	115043972	 lncRNA	+	189879
ENSMUSG00000101448.1	 Gm28494	chr2	114897916	115220708	 lncRNA	-	322792
ENSMUSG00000099361.1	 Gm28492	chr2	114938570	114939588	 lncRNA	+	1018
ENSMUSG00000084222.1	 Gm13973	chr2	115036419	115037312	 processed_pseudogene	-	893
ENSMUSG00000099802.1	 Gm28493	chr2	115135550	115137786	 lncRNA	+	2236
ENSMUSG00000087309.1	 4930528P14Rik	chr2	115329264	115344280	 lncRNA	-	15016
ENSMUSG00000086197.1	 Gm13976	chr2	115344385	115346968	 lncRNA	+	2583
ENSMUSG00000085582.7	 3110099E03Rik	chr2	115493513	115527744	 lncRNA	-	34231
ENSMUSG00000086735.1	 Gm13977	chr2	115556786	115581555	 lncRNA	-	24769
ENSMUSG00000040282.13	 BC052040	chr2	115581716	115778768	 protein_coding	+	197052
ENSMUSG00000088606.1	 Mir1951	chr2	115638725	115638813	 miRNA	+	88
ENSMUSG00000027210.20	 Meis2	chr2	115863064	116065839	 protein_coding	-	202775
ENSMUSG00000086328.1	 2700033N17Rik	chr2	116066218	116067444	 lncRNA	-	1226
ENSMUSG00000086308.1	 G630016G05Rik	chr2	116067225	116085911	 lncRNA	+	18686
ENSMUSG00000103562.1	 2810405F15Rik	chr2	116075165	116076096	 TEC	-	931
ENSMUSG00000081787.1	 Gm13991	chr2	116527843	116528490	 processed_pseudogene	-	647
ENSMUSG00000086462.1	 Gm13990	chr2	116848099	116877168	 lncRNA	-	29069
ENSMUSG00000027355.15	 Tmco5	chr2	116878691	116892494	 protein_coding	+	13803
ENSMUSG00000085316.1	 D330050G23Rik	chr2	116900152	116912791	 lncRNA	+	12639
ENSMUSG00000087910.1	 Gm24914	chr2	116963237	116963549	 misc_RNA	+	312
ENSMUSG00000065794.1	 Gm25514	chr2	116968039	116968173	 snRNA	-	134
ENSMUSG00000099470.1	 Gm29340	chr2	116972575	116976428	 lncRNA	-	3853
ENSMUSG00000074930.5	 Gm13981	chr2	117055566	117056012	 processed_pseudogene	+	446
ENSMUSG00000027351.14	 Spred1	chr2	117121374	117182279	 protein_coding	+	60905
ENSMUSG00000076376.1	 Mir674	chr2	117185127	117185226	 miRNA	+	99
ENSMUSG00000081842.1	 Rap1a-ps2	chr2	117240883	117241441	 processed_pseudogene	+	558
ENSMUSG00000065845.1	 Gm25189	chr2	117248271	117248434	 snRNA	+	163
ENSMUSG00000027349.5	 Fam98b	chr2	117249739	117271540	 protein_coding	+	21801
ENSMUSG00000027347.18	 Rasgrp1	chr2	117279993	117343001	 protein_coding	-	63008
ENSMUSG00000085681.1	 Gm13982	chr2	117414392	117417697	 lncRNA	-	3305
ENSMUSG00000101394.1	 Gm28183	chr2	117802117	117803664	 lncRNA	-	1547
ENSMUSG00000086203.1	 Gm13985	chr2	117806678	117812813	 lncRNA	-	6135
ENSMUSG00000086221.1	 4930412B13Rik	chr2	117821928	117909136	 lncRNA	+	87208
ENSMUSG00000087203.7	 Gm13986	chr2	117857291	118111202	 lncRNA	-	253911
ENSMUSG00000103266.1	 Gm36979	chr2	118039843	118041480	 TEC	+	1637
ENSMUSG00000077359.1	 Gm25308	chr2	118077805	118077962	 snRNA	-	157
ENSMUSG00000040152.8	 Thbs1	chr2	118111876	118127133	 protein_coding	+	15257
ENSMUSG00000101859.1	 Gm29233	chr2	118123451	118124047	 lncRNA	-	596
ENSMUSG00000027344.14	 Fsip1	chr2	118130424	118256966	 protein_coding	-	126542
ENSMUSG00000093368.1	 Gm22800	chr2	118248689	118248782	 miRNA	-	93
ENSMUSG00000100046.1	 Gm29232	chr2	118253255	118279430	 lncRNA	-	26175
ENSMUSG00000045339.7	 A930104D05Rik	chr2	118270233	118276169	 lncRNA	-	5936
ENSMUSG00000040133.2	 Gpr176	chr2	118277110	118373419	 protein_coding	-	96309
ENSMUSG00000085889.1	 1700054M17Rik	chr2	118304914	118308166	 lncRNA	+	3252
ENSMUSG00000088497.1	 Gm22651	chr2	118351238	118351331	 rRNA	+	93
ENSMUSG00000005102.13	 Eif2ak4	chr2	118388618	118475234	 protein_coding	+	86616
ENSMUSG00000009549.14	 Srp14	chr2	118475850	118479711	 protein_coding	-	3861
ENSMUSG00000084028.1	 Gm13983	chr2	118483313	118484177	 processed_pseudogene	-	864
ENSMUSG00000040093.15	 Bmf	chr2	118528757	118549687	 protein_coding	-	20930
ENSMUSG00000080747.1	 Gm14016	chr2	118594079	118594564	 processed_pseudogene	+	485
ENSMUSG00000040084.9	 Bub1b	chr2	118598211	118641591	 protein_coding	+	43380
ENSMUSG00000074923.10	 Pak6	chr2	118663303	118698020	 protein_coding	+	34717
ENSMUSG00000078137.1	 Ankrd63	chr2	118699103	118703963	 protein_coding	-	4860
ENSMUSG00000040061.17	 Plcb2	chr2	118707517	118728438	 protein_coding	-	20921
ENSMUSG00000074918.4	 Inafm2	chr2	118745758	118748810	 protein_coding	+	3052
ENSMUSG00000045838.8	 Ccdc9b	chr2	118754158	118762661	 protein_coding	-	8503
ENSMUSG00000046804.13	 Phgr1	chr2	118772769	118778165	 protein_coding	+	5396
ENSMUSG00000040035.14	 Disp2	chr2	118779719	118811293	 protein_coding	+	31574
ENSMUSG00000027331.15	 Knstrn	chr2	118814003	118853957	 protein_coding	+	39954
ENSMUSG00000086421.1	 Gm14091	chr2	118829874	118834122	 lncRNA	-	4248
ENSMUSG00000027332.11	 Ivd	chr2	118861954	118882909	 protein_coding	+	20955
ENSMUSG00000040007.8	 Bahd1	chr2	118900377	118924528	 protein_coding	+	24151
ENSMUSG00000074916.5	 Chst14	chr2	118926496	118928585	 protein_coding	+	2089
ENSMUSG00000084802.1	 Gm14089	chr2	118997068	119000684	 lncRNA	+	3616
ENSMUSG00000081413.3	 Uqcrh-ps2	chr2	119008209	119008477	 processed_pseudogene	+	268
ENSMUSG00000039983.13	 Ccdc32	chr2	119017779	119029393	 protein_coding	-	11614
ENSMUSG00000027324.1	 Rpusd2	chr2	119034790	119039769	 protein_coding	+	4979
ENSMUSG00000027326.13	 Knl1	chr2	119047119	119105501	 protein_coding	+	58382
ENSMUSG00000027323.10	 Rad51	chr2	119112793	119147445	 protein_coding	+	34652
ENSMUSG00000070730.11	 Rmdn3	chr2	119137001	119157034	 protein_coding	-	20033
ENSMUSG00000046814.3	 Gchfr	chr2	119167773	119172390	 protein_coding	+	4617
ENSMUSG00000034278.3	 Dnajc17	chr2	119172500	119208795	 protein_coding	-	36295
ENSMUSG00000055926.2	 Gm14137	chr2	119174509	119177575	 protein_coding	+	3066
ENSMUSG00000081572.3	 Gm14138	chr2	119187517	119188261	 processed_pseudogene	+	744
ENSMUSG00000068580.11	 Zfyve19	chr2	119208617	119217049	 protein_coding	+	8432
ENSMUSG00000027317.8	 Ppp1r14d	chr2	119218119	119229906	 protein_coding	-	11787
ENSMUSG00000027315.13	 Spint1	chr2	119237362	119249527	 protein_coding	+	12165
ENSMUSG00000034226.7	 Rhov	chr2	119269201	119271272	 protein_coding	-	2071
ENSMUSG00000084015.1	 Gm14175	chr2	119284792	119285032	 unprocessed_pseudogene	+	240
ENSMUSG00000034216.12	 Vps18	chr2	119288740	119298453	 protein_coding	+	9713
ENSMUSG00000074912.10	 Gm14207	chr2	119321187	119326194	 lncRNA	-	5007
ENSMUSG00000027314.6	 Dll4	chr2	119325784	119335962	 protein_coding	+	10178
ENSMUSG00000027313.3	 Chac1	chr2	119351229	119354381	 protein_coding	+	3152
ENSMUSG00000034154.15	 Ino80	chr2	119373042	119477687	 protein_coding	-	104645
ENSMUSG00000082369.1	 Gm14208	chr2	119508552	119509229	 processed_pseudogene	-	677
ENSMUSG00000048647.9	 Exd1	chr2	119516505	119547627	 protein_coding	-	31122
ENSMUSG00000014077.13	 Chp1	chr2	119547697	119587027	 protein_coding	+	39330
ENSMUSG00000085438.1	 1700020I14Rik	chr2	119594297	119607502	 lncRNA	+	13205
ENSMUSG00000072980.3	 Oip5	chr2	119609512	119618469	 protein_coding	-	8957
ENSMUSG00000027306.15	 Nusap1	chr2	119618298	119651244	 protein_coding	+	32946
ENSMUSG00000064906.1	 n-R5s204	chr2	119631118	119631236	 rRNA	+	118
ENSMUSG00000027305.9	 Ndufaf1	chr2	119655446	119662827	 protein_coding	-	7381
ENSMUSG00000082029.1	 H3f3c	chr2	119665626	119666036	 processed_pseudogene	-	410
ENSMUSG00000081416.1	 Gm14383	chr2	119669159	119669544	 processed_pseudogene	+	385
ENSMUSG00000027304.9	 Rtf1	chr2	119675068	119735407	 protein_coding	+	60339
ENSMUSG00000064722.1	 Gm25857	chr2	119740828	119740956	 snoRNA	-	128
ENSMUSG00000027296.7	 Itpka	chr2	119742337	119751263	 protein_coding	+	8926
ENSMUSG00000027297.14	 Ltk	chr2	119751320	119760431	 protein_coding	-	9111
ENSMUSG00000034032.15	 Rpap1	chr2	119763304	119787537	 protein_coding	-	24233
ENSMUSG00000065164.1	 Gm23814	chr2	119793942	119794043	 snRNA	-	101
ENSMUSG00000027298.17	 Tyro3	chr2	119797733	119818104	 protein_coding	+	20371
ENSMUSG00000081056.1	 Gm13998	chr2	119878069	119878403	 processed_pseudogene	-	334
ENSMUSG00000033943.15	 Mga	chr2	119897228	119969581	 protein_coding	+	72353
ENSMUSG00000033902.12	 Mapkbp1	chr2	119972699	120027408	 protein_coding	+	54709
ENSMUSG00000098632.1	 Mir7665	chr2	120017517	120017579	 miRNA	+	62
ENSMUSG00000087458.1	 Gm13999	chr2	120024807	120027453	 lncRNA	-	2646
ENSMUSG00000098789.7	 Jmjd7	chr2	120027483	120032594	 protein_coding	+	5111
ENSMUSG00000033852.16	 Gm28042	chr2	120027493	120043033	 protein_coding	+	15540
ENSMUSG00000098488.7	 Pla2g4b	chr2	120033417	120043030	 protein_coding	+	9613
ENSMUSG00000074899.6	 Sptbn5	chr2	120041493	120085678	 protein_coding	-	44185
ENSMUSG00000027293.13	 Ehd4	chr2	120089175	120154606	 protein_coding	-	65431
ENSMUSG00000050211.14	 Pla2g4e	chr2	120166412	120245335	 protein_coding	-	78923
ENSMUSG00000087555.1	 Gm13997	chr2	120244921	120245598	 lncRNA	-	677
ENSMUSG00000070719.4	 Pla2g4d	chr2	120265595	120289197	 protein_coding	-	23602
ENSMUSG00000046971.7	 Pla2g4f	chr2	120299957	120314165	 protein_coding	-	14208
ENSMUSG00000027291.15	 Vps39	chr2	120316461	120353137	 protein_coding	-	36676
ENSMUSG00000033808.16	 Tmem87a	chr2	120355312	120404113	 protein_coding	-	48801
ENSMUSG00000062646.12	 Ganc	chr2	120403896	120461700	 protein_coding	+	57804
ENSMUSG00000079110.11	 Capn3	chr2	120456019	120504913	 protein_coding	+	48894
ENSMUSG00000027288.16	 Zfp106	chr2	120506820	120563843	 protein_coding	-	57023
ENSMUSG00000097799.1	 Gm26899	chr2	120532904	120539846	 lncRNA	+	6942
ENSMUSG00000027287.14	 Snap23	chr2	120567671	120601255	 protein_coding	+	33584
ENSMUSG00000027286.16	 Lrrc57	chr2	120604238	120609520	 protein_coding	-	5282
ENSMUSG00000027285.13	 Haus2	chr2	120609383	120621560	 protein_coding	+	12177
ENSMUSG00000033705.17	 Stard9	chr2	120629121	120731895	 protein_coding	+	102774
ENSMUSG00000065083.1	 n-R5s205	chr2	120640711	120640835	 rRNA	-	124
ENSMUSG00000027284.16	 Cdan1	chr2	120716154	120850128	 protein_coding	-	133974
ENSMUSG00000090100.7	 Ttbk2	chr2	120732816	120850604	 protein_coding	-	117788
ENSMUSG00000087519.8	 AV039307	chr2	120850705	120866689	 lncRNA	+	15984
ENSMUSG00000027272.5	 Ubr1	chr2	120860269	120970715	 protein_coding	-	110446
ENSMUSG00000054484.14	 Tmem62	chr2	120977017	121007852	 protein_coding	+	30835
ENSMUSG00000105465.1	 Gm44325	chr2	120977651	120977727	 miRNA	-	76
ENSMUSG00000065883.2	 Gm22865	chr2	121004089	121004302	 snoRNA	+	213
ENSMUSG00000023572.16	 Ccndbp1	chr2	121008403	121016904	 protein_coding	+	8501
ENSMUSG00000023216.13	 Epb42	chr2	121017891	121037072	 protein_coding	-	19181
ENSMUSG00000053675.8	 Tgm5	chr2	121046111	121085841	 protein_coding	-	39730
ENSMUSG00000081313.1	 Gm14213	chr2	121049799	121050566	 processed_pseudogene	+	767
ENSMUSG00000079103.3	 Tgm7	chr2	121093565	121116396	 protein_coding	-	22831
ENSMUSG00000074890.4	 Lcmt2	chr2	121128307	121140653	 protein_coding	-	12346
ENSMUSG00000089009.1	 Gm23858	chr2	121135191	121135296	 snRNA	-	105
ENSMUSG00000027259.15	 Adal	chr2	121140428	121156680	 protein_coding	+	16252
ENSMUSG00000050619.14	 Zscan29	chr2	121158273	121171125	 protein_coding	-	12852
ENSMUSG00000027263.12	 Tubgcp4	chr2	121170654	121198770	 protein_coding	+	28116
ENSMUSG00000043909.16	 Trp53bp1	chr2	121193281	121271407	 protein_coding	-	78126
ENSMUSG00000027254.13	 Map1a	chr2	121289600	121310832	 protein_coding	+	21232
ENSMUSG00000087704.1	 Gm14978	chr2	121293703	121296008	 lncRNA	-	2305
ENSMUSG00000033526.16	 Ppip5k1	chr2	121310561	121355396	 protein_coding	-	44835
ENSMUSG00000000308.14	 Ckmt1	chr2	121357714	121363737	 protein_coding	+	6023
ENSMUSG00000033498.14	 Strc	chr2	121363728	121387168	 protein_coding	-	23440
ENSMUSG00000033486.14	 Catsper2	chr2	121392631	121413792	 protein_coding	-	21161
ENSMUSG00000082651.1	 Gm14001	chr2	121401145	121401391	 processed_pseudogene	-	246
ENSMUSG00000084140.1	 Gm14000	chr2	121405241	121405473	 processed_pseudogene	+	232
ENSMUSG00000027248.13	 Pdia3	chr2	121413775	121438687	 protein_coding	+	24912
ENSMUSG00000027246.12	 Ell3	chr2	121439010	121444278	 protein_coding	-	5268
ENSMUSG00000046110.15	 Serinc4	chr2	121439059	121456781	 protein_coding	-	17722
ENSMUSG00000074884.12	 Serf2	chr2	121449195	121458313	 protein_coding	+	9118
ENSMUSG00000080374.1	 Gm22953	chr2	121450670	121450770	 miRNA	-	100
ENSMUSG00000027245.11	 Hypk	chr2	121453290	121458672	 protein_coding	+	5382
ENSMUSG00000048222.3	 Mfap1b	chr2	121460235	121474067	 protein_coding	-	13832
ENSMUSG00000081967.1	 Gm14017	chr2	121481129	121481514	 processed_pseudogene	+	385
ENSMUSG00000084407.1	 Gm14018	chr2	121485432	121491512	 unprocessed_pseudogene	+	6080
ENSMUSG00000068479.5	 Mfap1a	chr2	121491911	121506665	 protein_coding	-	14754
ENSMUSG00000027242.14	 Wdr76	chr2	121506723	121544860	 protein_coding	+	38137
ENSMUSG00000027238.17	 Frmd5	chr2	121545529	121807087	 protein_coding	-	261558
ENSMUSG00000081264.1	 Gm14021	chr2	121700765	121701725	 processed_pseudogene	-	960
ENSMUSG00000084244.1	 Gm14020	chr2	121718530	121719191	 processed_pseudogene	+	661
ENSMUSG00000086913.1	 Gm14019	chr2	121865781	121866717	 lncRNA	-	936
ENSMUSG00000060227.15	 Casc4	chr2	121866970	121936220	 protein_coding	+	69250
ENSMUSG00000087767.1	 Gm23983	chr2	121891571	121891684	 rRNA	-	113
ENSMUSG00000074881.4	 Mageb3	chr2	121953752	121956092	 protein_coding	-	2340
ENSMUSG00000033411.16	 Ctdspl2	chr2	121956001	122013642	 protein_coding	+	57641
ENSMUSG00000027236.8	 Eif3j1	chr2	122028546	122056598	 protein_coding	+	28052
ENSMUSG00000104603.1	 Gm47314	chr2	122028642	122028709	 miRNA	+	67
ENSMUSG00000033396.13	 Spg11	chr2	122053520	122118386	 protein_coding	-	64866
ENSMUSG00000027233.4	 Patl2	chr2	122120108	122186189	 protein_coding	-	66081
ENSMUSG00000060802.8	 B2m	chr2	122147686	122153083	 protein_coding	+	5397
ENSMUSG00000033368.8	 Trim69	chr2	122160700	122179027	 protein_coding	+	18327
ENSMUSG00000027229.5	 Terb2	chr2	122186272	122206397	 protein_coding	+	20125
ENSMUSG00000082670.1	 Gm14050	chr2	122207920	122208265	 processed_pseudogene	+	345
ENSMUSG00000079966.2	 Gm14058	chr2	122214620	122215354	 processed_pseudogene	-	734
ENSMUSG00000070692.6	 Rps12-ps10	chr2	122219993	122220391	 processed_pseudogene	+	398
ENSMUSG00000027227.7	 Sord	chr2	122234749	122265340	 protein_coding	+	30591
ENSMUSG00000068452.8	 Duox2	chr2	122279247	122298449	 protein_coding	-	19202
ENSMUSG00000027225.7	 Duoxa2	chr2	122298900	122302885	 protein_coding	+	3985
ENSMUSG00000027224.14	 Duoxa1	chr2	122302191	122313730	 protein_coding	-	11539
ENSMUSG00000033268.8	 Duox1	chr2	122315672	122347972	 protein_coding	+	32300
ENSMUSG00000033256.14	 Shf	chr2	122348892	122369162	 protein_coding	-	20270
ENSMUSG00000088506.1	 Gm24409	chr2	122385489	122385640	 snRNA	-	151
ENSMUSG00000027219.13	 Slc28a2	chr2	122426477	122461137	 protein_coding	+	34660
ENSMUSG00000083645.1	 Gm14086	chr2	122427194	122427469	 unprocessed_pseudogene	+	275
ENSMUSG00000081219.1	 Bambi-ps1	chr2	122466935	122467526	 processed_pseudogene	-	591
ENSMUSG00000079071.2	 Gm14085	chr2	122484941	122528040	 protein_coding	+	43099
ENSMUSG00000027199.14	 Gatm	chr2	122594467	122611303	 protein_coding	-	16836
ENSMUSG00000074876.5	 Spata5l1	chr2	122630625	122632930	 lncRNA	+	2305
ENSMUSG00000033213.16	 AA467197	chr2	122636986	122641191	 protein_coding	+	4205
ENSMUSG00000076309.2	 Mir147	chr2	122640803	122640881	 miRNA	+	78
ENSMUSG00000005802.12	 Slc30a4	chr2	122681233	122702663	 protein_coding	-	21430
ENSMUSG00000087017.7	 4930417H01Rik	chr2	122702047	122721456	 lncRNA	+	19409
ENSMUSG00000085633.1	 Bloc1s6os	chr2	122733290	122738362	 lncRNA	-	5072
ENSMUSG00000005804.14	 Bloc1s6	chr2	122738503	122749475	 protein_coding	+	10972
ENSMUSG00000005803.14	 Sqor	chr2	122765237	122809569	 protein_coding	+	44332
ENSMUSG00000084372.1	 Gm13988	chr2	123273924	123274211	 processed_pseudogene	+	287
ENSMUSG00000027200.17	 Sema6d	chr2	124089969	124667770	 protein_coding	+	577801
ENSMUSG00000085496.1	 4930517E11Rik	chr2	124123636	124129956	 lncRNA	-	6320
